Medicine ID,Name,Company Name,MRP,PTR/SP,Offer,Category
22,ADVENT 300MG INJ 1 VIAL,CIPLA LTD,116.74,45.47,No Offer Available,General
23,ADVENT 600MG INJ 1 VIAL,CIPLA LTD,113.48,63.75,No Offer Available,General
24,ADVENT FORTE SYP 30ML,CIPLA LTD,213.11,116.44,No Offer Available,General
25,ADVENT SYP 30ML,CIPLA LTD,67.87,37.08,No Offer Available,General
26,AEROCORT FORTE ROTOCAP 1PCS,CIPLA LTD,115.13,72.47,No Offer Available,General
27,AEROCORT INHALER 1PCS,CIPLA LTD,301.14,189.56,No Offer Available,General
28,AEROCORT ROTACAPS 1PCS,CIPLA LTD,125.78,79.17,No Offer Available,General
29,AKT 2 TAB 10*10STRIPS,LUPIN LIMITED,113.9,74.75,No Offer Available,General
30,AKT 3 TAB 2*40STRIP,LUPIN LIMITED,18.35,13.11,No Offer Available,General
31,AKT 4 TAB 4*40STRIPS,LUPIN LIMITED,29.85,21.32,No Offer Available,General
32,AKT FD TAB 3*30STRIPS,LUPIN LIMITED,765,491.79,No Offer Available,General
33,AKURIT 3MG TAB 10*20STRIP,LUPIN LIMITED,75.6,0,No Offer Available,General
34,AKURIT 4MG TAB 10*20STRIP,LUPIN LIMITED,99.8,0,No Offer Available,General
35,AKURIT KID TAB 10*10STRIP,LUPIN LIMITED,158,92.57,No Offer Available,General
36,AKURIT TAB 6*25STRIPS,LUPIN LIMITED,22.3,14.64,No Offer Available,General
37,AKURIT Z KID 10*10STRIP,LUPIN LIMITED,216,135,No Offer Available,General
38,AL5ZYME CAP 10*10STRIP,ALEMBIC PHARMACEUTICALS LTD,1324,851.1,No Offer Available,General
39,ALDAY TAB 10*20STRIP,SH PHARMACEUTICALS.LTD.,21.05,0,No Offer Available,General
40,ALERID COLD TAB 10*10STRIP,CIPLA LTD,655,294.77,No Offer Available,General
41,ALERID D TAB 10X50STRIP,CIPLA LTD,3188,1707.85,No Offer Available,General
42,ALERID SYP 30ML 1PKT*40PCS,CIPLA LTD,22.17,14.53,No Offer Available,General
43,ALERID SYP 60ML 1PKT*30PCS,CIPLA LTD,44.35,26.65,No Offer Available,General
44,ALERID TAB (NEW) 1X140,CIPLA LTD,21.05,15.04,No Offer Available,General
45,ALERID TAB 1X140STRIP,CIPLA LTD,2947,1704.78,No Offer Available,General
46,ALFUSIN D 10 TAB 1X10,CIPLA LTD,5430.4,3491,No Offer Available,General
47,ALFUSIN TAB 1X10,CIPLA LTD,328.53,234.66,No Offer Available,General
48,ALGISOD SYP 100ML,CIPLA LTD,125,80.36,No Offer Available,General
49,ALLEGRA 120MG TAB 10*15 STRIPS,SANOFI INDIA LIMITED,240.68,0,No Offer Available,General
50,ALLEGRA 180MG TAB 10*15STRIPS,SANOFI INDIA LIMITED,275.11,0,No Offer Available,General
51,ALLEGRA DUO NASAL SPRAY 1PCS,SANOFI INDIA LIMITED,481,343.57,No Offer Available,General
52,ALLEGRA M TAB 10*5STRIPS,SANOFI INDIA LIMITED,265.62,172.38,No Offer Available,General
53,ALLEGRA NASAL SPRAY 1PCS,SANOFI INDIA LIMITED,436,311.43,No Offer Available,General
54,ALLEGRA SUP 100ML 1PCS,SANOFI INDIA LIMITED,207.65,148.32,No Offer Available,General
55,ALLERBEST TAB 10X12STRIP,ABBOTT HEATHCARE LIMITED,306.6,164.29,No Offer Available,General
56,ALLSTAR REUSABLE INSULIN PEN 1*1PCS,SANOFI INDIA LIMITED,977,697.1,No Offer Available,General
57,ALTHROCIN 125MG TAB 10X10,ALEMBIC PHARMACEUTICALS LTD,48.05,30.91,No Offer Available,General
58,ALTHROCIN 250MG TAB 10*50STRIP,ALEMBIC PHARMACEUTICALS LTD,62,39.88,No Offer Available,General
59,ALTHROCIN 500MG TAB 10*15STRIP,ALEMBIC PHARMACEUTICALS LTD,120.8,77.71,No Offer Available,General
60,ALTHROCIN DROP 1PKT*10PIECE,ALEMBIC PHARMACEUTICALS LTD,55.85,35.93,No Offer Available,General
61,ALTHROCIN SYP. 1PCS,ALEMBIC PHARMACEUTICALS LTD,65,41.8,No Offer Available,General
62,AMARYL 1MG TAB 30*10STRIP,SANOFI INDIA LIMITED,124.32,88.8,No Offer Available,General
63,AMARYL 2MG TAB 30*15STRIP,SANOFI INDIA LIMITED,194.54,138.96,No Offer Available,General
64,AMARYL 3MG TAB 30*10STRIP,SANOFI INDIA LIMITED,530.48,378.91,No Offer Available,General
65,AMARYL M 1 MG 20*8STRIP,SANOFI INDIA LIMITED,267.11,190.79,No Offer Available,General
66,AMARYL M 2 MG 20*8STRIP,SANOFI INDIA LIMITED,399.66,285.47,No Offer Available,General
67,AMARYL M FORTE 1MG 15*10STRIP,SANOFI INDIA LIMITED,232.42,0,No Offer Available,General
68,AMARYL M FORTE 2MG 15*10STRIP,SANOFI INDIA LIMITED,276.3,0,No Offer Available,General
69,AMARYL MP 1MG 20*8STRIP,SANOFI INDIA LIMITED,300.86,0,No Offer Available,General
70,AMARYL MP 2MG 20*8STRIP,SANOFI INDIA LIMITED,538.44,0,No Offer Available,General
71,AMARYL MV 1 MG 15*10STRIP,SANOFI INDIA LIMITED,185.22,0,No Offer Available,General
72,AMARYL MV 2 MG 15*10STRIP,SANOFI INDIA LIMITED,234.75,0,No Offer Available,General
73,AMBISTRYN-S 0.75GM 1X25,ABBOTT HEATHCARE LIMITED,265,8.08,No Offer Available,General
74,AMBISTRYN-S 1GM 1X25,ABBOTT HEATHCARE LIMITED,11.39,8.68,No Offer Available,General
75,AMBRODIL S SYRP 100ML,ARISTO PHARMACEUTICALS PVT LTD,36.15,25.82,No Offer Available,General
76,AMINOFIT 15*2STRIPS,UNIVERSAL NUTRISCIENCE PVT.LTD,334,0,No Offer Available,General
77,AMLOGARD 10GM TAB 30*10STRIP,PFIZER LIMITED,181.21,139.47,No Offer Available,General
78,AMLOGARD 2.5MG TAB 30*10STRIP,PFIZER LIMITED,53.42,41.67,No Offer Available,General
79,AMLOGARD 5MG TAB 30*10STRIPS,PFIZER LIMITED,74.93,53.57,No Offer Available,General
80,AMLOPRES 10MG TAB 10*50STRIP,CIPLA LTD,3046,1958,No Offer Available,General
81,AMLOPRES 2.5MG TAB 15*100STRIP,CIPLA LTD,30.07,21.48,No Offer Available,General
82,AMLOPRES 5MG TAB 30*60STRIP,CIPLA LTD,84,60,No Offer Available,General
83,AMLOPRES AT 25 TAB 15*75STRIP,CIPLA LTD,121.57,86.84,No Offer Available,General
84,AMLOPRES AT TAB 15*60STRIP,CIPLA LTD,163.44,116.74,No Offer Available,General
85,AMLOPRES L TAB 15*20STRIP,CIPLA LTD,3979.4,2558.2,No Offer Available,General
86,AMLOPRES TL 80MG TAB 1X10,CIPLA LTD,1800,1157.1,No Offer Available,General
87,AMLOPRES TL TAB 15*10STRIP,CIPLA LTD,134.16,95.83,No Offer Available,General
88,ANAFORTAN AMP 1BOX*20AMP,ABBOTT HEATHCARE LIMITED,36.22,25.87,9+1,General
89,ANAFORTAN DROP 1PKT*12PIECE,ABBOTT HEATHCARE LIMITED,62.84,40.4,No Offer Available,General
90,ANAFORTAN N TAB 10*12STRIP,ABBOTT HEATHCARE LIMITED,92.58,56.52,No Offer Available,General
91,ANAFORTAN SYP 1PCS,ABBOTT HEATHCARE LIMITED,111.9,79.93,No Offer Available,General
92,ANAFORTAN TAB 15*12STRIP,ABBOTT HEATHCARE LIMITED,1093.2,702.72,No Offer Available,General
93,ANAFORTAN VIAL 1VIAL,ABBOTT HEATHCARE LIMITED,117.45,64.52,No Offer Available,General
94,ANAFORTAN-MF TAB 1X12,ABBOTT HEATHCARE LIMITED,102.39,73.14,No Offer Available,General
95,APIDRA CATRIDGE 5*3ML 1PCS,SANOFI INDIA LIMITED,3805,2830.74,No Offer Available,General
96,APIDRA SOLOSTAR 300IU 1PCS,SANOFI INDIA LIMITED,968,720.15,No Offer Available,General
97,APIDRA VIAL 1PCS,SANOFI INDIA LIMITED,1534,1141.23,No Offer Available,General
98,ARACHITOL 3LAK 1ML*6AMPOULES,ABBOTT INDIA LIMITED,320.64,210.25,No Offer Available,General
99,ARACHITOL 6LAK 1ML*6AMPOULES,ABBOTT INDIA LIMITED,493.32,294.08,No Offer Available,General
100,ARACHITOL GUMMIES 1BOX*30GUMMIES,ABBOTT INDIA LIMITED,330,201.36,No Offer Available,General
101,ARACHITOL KIDS  1BOX,ABBOTT HEATHCARE LIMITED,132,84.86,No Offer Available,General
102,ARACHITOL NANO 5ML LIQUID 5ML*4SOLUTION,ABBOTT INDIA LIMITED,419.4,275,No Offer Available,General
103,ARISTOZYME CAP 15 STRIPS,ARISTO PHARMACEUTICALS PVT LTD,86.85,63.46,No Offer Available,General
104,ARISTOZYME DROP 1*15ML,ARISTO PHARMACEUTICALS PVT LTD,72.8,52,No Offer Available,General
105,ARISTOZYME SYP  200ML 1 PCS,RAPTAKOS.BRETT @ CO. LTD.,136,99.38,No Offer Available,General
106,ASCABIOL 120ML,ABBOTT HEATHCARE LIMITED,174.36,105.19,No Offer Available,General
107,ASCABIOL 60ML,ABBOTT HEATHCARE LIMITED,104.88,65.32,No Offer Available,General
108,ASTHAKIND DX 60ML SYP 60ML,MANKIND,77.44,55.31,4+1,General
109,ASTHAKIND DX SYP 100ML 100ML,MANKIND,102.5,73.2,4+1,General
110,ASTHAKIND EXP 100ML SYP 100ML,MANKIND,102.48,73.2,4+1,General
111,ASTHAKIND EXP 60ML 60ML,MANKIND,70.64,50.46,4+1,General
112,ASTHAKIND LS 100ML SYP 100ML,MANKIND,99,70.71,5+1,General
113,ASTHALIN 2MG TAB 30X60STRIP,CIPLA LTD,8.56,6.16,No Offer Available,General
114,ASTHALIN 4MG TAB 45X60STRIP,CIPLA LTD,10.58,7.56,No Offer Available,General
115,ASTHALIN EXPECTORANT PLUS 1PCS,CIPLA LTD,86.51,44.49,No Offer Available,General
116,ASTHALIN INHALER 1PCS,CIPLA LTD,176.98,126.41,No Offer Available,General
117,ASTHALIN RESPIRTATOR SOLU 1PCS,CIPLA LTD,11.42,7.48,No Offer Available,General
118,ASTHALIN RESPULES 2.5ML*40RESPULE,CIPLA LTD,310.8,204,No Offer Available,General
119,ASTHALIN ROTACAPS 60*1PCS,CIPLA LTD,63.29,40.69,No Offer Available,General
120,ASTHALIN SYP 100ML*1PCS,CIPLA LTD,20.16,13.21,No Offer Available,General
121,ATIVAN 1MG  1BOX,PFIZER LIMITED,5440,3700,No Offer Available,General
122,ATIVAN 2MG TAB 1X80STRIP,PFIZER LIMITED,7540,5104.16,No Offer Available,General
123,ATORLIP 10MG TAB 15*10STRIP,CIPLA LTD,1023.1,657.7,No Offer Available,General
124,ATORLIP 20MG TAB 15*10STRIP,CIPLA LTD,2237,1438.1,No Offer Available,General
125,ATORLIP 40MG TAB 10*10STRIP,CIPLA LTD,2165.8,1392.3,No Offer Available,General
126,ATORLIP 80MG TAB 7*10STRIP,CIPLA LTD,312.57,200.94,No Offer Available,General
127,AUGMENTIN 1.2 VAIL 1VIAL,GLAXOSMITHKLINE PHARMACEUTICALS LTD,157.52,112.51,No Offer Available,General
128,AUGMENTIN 1G DUO TAB 10X5STRIP,GLAXOSMITHKLINE PHARMACEUTICALS LTD,601.45,0,No Offer Available,General
129,AUGMENTIN 375MG TAB 10*5STRIP,GLAXOSMITHKLINE PHARMACEUTICALS LTD,251.85,179.89,No Offer Available,General
130,AUGMENTIN 625MG TAB 1X10,GLAXOSMITHKLINE PHARMACEUTICALS LTD,204.85,146.32,No Offer Available,General
131,AUGMENTIN DDS SYP 1PCS,GLAXOSMITHKLINE PHARMACEUTICALS LTD,190.25,135.89,No Offer Available,General
132,AUGMENTIN DUO SYP 1PCS,GLAXOSMITHKLINE PHARMACEUTICALS LTD,67.54,48.24,No Offer Available,General
133,AUGMENTIN ES SUS 1PCS,GLAXOSMITHKLINE PHARMACEUTICALS LTD,223.6,143.74,No Offer Available,General
134,AUGMENTIN I.V. 300MG PCS,GLAXOSMITHKLINE PHARMACEUTICALS LTD,74.75,48.05,No Offer Available,General
135,AUTRIN CAP. 30*20STRIP,PFIZER LIMITED,181,129.28,No Offer Available,General
136,AUTRIN-XT TAB 10X10STRIP,PFIZER LIMITED,131,93.56,9+1,General
137,AVAMYS NASAL SPRAY-10G 1PCS,GLAXOSMITHKLINE PHARMACEUTICALS LTD,444.9,286.01,No Offer Available,General
138,AVIL 10 ML VAIL 1VIAL,SANOFI INDIA LIMITED,23.07,15.76,No Offer Available,General
139,AVIL 25MG TAB 15*80STRIP,SANOFI INDIA LIMITED,12.05,8.61,No Offer Available,General
140,AVIL 2ML 2ML*10AMP,SANOFI INDIA LIMITED,6.16,4.62,No Offer Available,General
141,AVIL 50MG TAB 15*80STRIP,SANOFI INDIA LIMITED,13.32,0,No Offer Available,General
142,AVIL-NU TAB 1X10STRIP,SANOFI INDIA LIMITED,0,0,No Offer Available,General
143,AVOMINE TAB 10*75STRIP,ABBOTT HEATHCARE LIMITED,61.57,43.98,No Offer Available,General
144,AZEE 100 DRY SYP 1X15ML,CIPLA LTD,45.88,29.2,No Offer Available,General
145,AZEE 200 DRY SYP 1X15ML,CIPLA LTD,57.12,33.05,No Offer Available,General
146,AZEE 250 TAB 10X60STRIP,CIPLA LTD,130.48,93.2,9+1,General
147,AZEE 500MG TAB (BIG) 1X60STRIP,CIPLA LTD,131.99,94.28,9+1,General
148,AZEE 500MG TAB 5*30STRIP,CIPLA LTD,3971.4,2043.09,No Offer Available,General
149,AZITHRAL 100 SYP 15*15PIC,ALEMBIC PHARMACEUTICALS LTD,55.5,34.6,No Offer Available,General
150,AZITHRAL 200 SYP 15*15PIC,ALEMBIC PHARMACEUTICALS LTD,57.12,35.61,No Offer Available,General
151,AZITHRAL 250MG 10*60STRIP,ALEMBIC PHARMACEUTICALS LTD,130.37,93.2,No Offer Available,General
152,AZITHRAL 500MG 5*36STRIP,ALEMBIC PHARMACEUTICALS LTD,131.94,82.27,No Offer Available,General
153,AZITHRAL JR 7.5ML 1BOX*10PCS,ALEMBIC PHARMACEUTICALS LTD,28.56,17.8,No Offer Available,General
154,AZITHRAL KID 5*15STRIP,ALEMBIC PHARMACEUTICALS LTD,55.95,34.89,No Offer Available,General
155,AZITHRAL-XL 100 SYP 30ML,ALEMBIC PHARMACEUTICALS LTD,101.6,65.31,No Offer Available,General
156,AZITHRAL-XL 200 SYP 30ML,ALEMBIC PHARMACEUTICALS LTD,114.24,81.6,No Offer Available,General
157,BACTRIM SYP 50ML,ABBOTT HEATHCARE LIMITED,19.6,12.6,No Offer Available,General
158,BACTRIM-DS TAB 1BOX,ABBOTT HEATHCARE LIMITED,25.76,18.4,No Offer Available,General
159,BANOCIDE FORT 30*20STRIP,GLAXOSMITHKLINE PHARMACEUTICALS LTD,1052.2,649.36,No Offer Available,General
160,BANOCIDE TAB 20X20STRIP,GLAXOSMITHKLINE PHARMACEUTICALS LTD,11.76,8.96,No Offer Available,General
161,BARALGAN NU TAB 10*40STRIP,SANOFI INDIA LIMITED,47.04,33.6,No Offer Available,General
162,BECADXAMIN CAP 30CAP*10CC*1BOX,GLAXOSMITHKLINE PHARMACEUTICALS LTD,51,38.25,No Offer Available,General
163,BECLATE-200 ROTACAPS 1PCS,CIPLA LTD,128.83,82.82,No Offer Available,General
164,BECOSULES + SYRUP 200ML,ABBOTT HEATHCARE LIMITED,110,61.86,No Offer Available,General
165,BECOSULES 120ML SRYP 120ML*1PCS,PFIZER LIMITED,44.54,30.72,No Offer Available,General
166,BECOSULES CAP. 20*25STRIP,PFIZER LIMITED,55,41.25,No Offer Available,General
167,BECOSULES JUNIOR SYP 200ML*1PCS,PFIZER LIMITED,148.49,85.91,No Offer Available,General
168,BECOSULES PERFORMANCE 15*1STRIP,PFIZER LIMITED,181,88.34,No Offer Available,General
169,BECOSULES PLUS 30*10STRIP,PFIZER LIMITED,2120,1090.24,No Offer Available,General
170,BECOSULES Z CAP 20*25STRIP,PFIZER LIMITED,55.5,41.62,12+1,General
171,BEIPOS TAB  1BOX,LUPIN LIMITED,1088.5,720,No Offer Available,General
172,BENEGUT SUSPENSION 1X5,ABBOTT INDIA LIMITED,530.88,341.28,No Offer Available,General
173,BENZ PEARLS 10*10STRIP,LUPIN LIMITED,970,623.57,No Offer Available,General
174,BENZ PEARLS 10*10STRIP,LUPIN LIMITED,1485,0,No Offer Available,General
175,BETADINE 10% SOLU 500ML 500ML,WIN MEDICARE,537.6,365.38,No Offer Available,General
176,BETADINE 125GM 1TUBE,WIN MEDICARE,381.5,241.57,No Offer Available,General
177,BETADINE 250GM JAR 250GM,WIN MEDICARE,666.5,422.03,No Offer Available,General
178,BETADINE GARGLE  50ML 50ML,WIN MEDICARE,185,117.15,No Offer Available,General
179,BETADINE GARGLE 100ML 100ML,WIN MEDICARE,304,217.14,No Offer Available,General
180,BETADINE GRANULES 1BOX,WIN MEDICARE,332.5,211,No Offer Available,General
181,BETADINE HAND RUB 1PCS,WIN MEDICARE,103.04,65.25,No Offer Available,General
182,BETADINE OINT 20GM 1PCS,WIN MEDICARE,145.14,88.78,No Offer Available,General
183,BETADINE ONIT 25GM 1PCS,WIN MEDICARE,88.5,56.04,No Offer Available,General
184,BETADINE POWDER 10GM,WIN MEDICARE,158,100.05,No Offer Available,General
185,BETADINE SOLUTION 100ML 1BOTLE,WIN MEDICARE,107.52,73.08,No Offer Available,General
186,BETADINE STD MICR 5% 500ML,WIN MEDICARE,246.4,167.47,No Offer Available,General
187,BETADINE STD MICRO  1000ML,WIN MEDICARE,436.8,246.45,No Offer Available,General
188,BETADINE SURG.SCR 1X50ML,WIN MEDICARE,112,75.74,No Offer Available,General
189,BETADINE VAGINAL TAB 10*1STRIP,WIN MEDICARE,237,150.07,No Offer Available,General
190,BETAMIL GM CREAM 1PCS,P@G,47.7,30.66,No Offer Available,General
191,BETNESOL AMP[40]  1BOX,GLAXOSMITHKLINE PHARMACEUTICALS LTD,424.8,293.11,No Offer Available,General
192,BETNESOL FORTE TAB 20X25STRIP,GLAXOSMITHKLINE PHARMACEUTICALS LTD,25.7,18.36,No Offer Available,General
193,BETNESOL N-EYE DROP 1DROP,GLAXOSMITHKLINE PHARMACEUTICALS LTD,20,12.86,No Offer Available,General
194,BETNESOL ORAL DROP 1DROP,GLAXOSMITHKLINE PHARMACEUTICALS LTD,25.6,16.46,No Offer Available,General
195,BETNESOL TAB 20*72STRIP,GLAXOSMITHKLINE PHARMACEUTICALS LTD,15.5,11.07,No Offer Available,General
196,BETNOVATE C SKIN CREAM 1*10,GLAXOSMITHKLINE PHARMACEUTICALS LTD,64.45,38.53,No Offer Available,General
197,BETNOVATE GM SKIN CREAM 1TUBE,GLAXOSMITHKLINE PHARMACEUTICALS LTD,41.15,29.39,No Offer Available,General
198,BETNOVATE N SKIN CREAM 1TUBE,GLAXOSMITHKLINE PHARMACEUTICALS LTD,55.3,39.09,No Offer Available,General
199,BETNOVATE S SKIN OINT 1*10,GLAXOSMITHKLINE PHARMACEUTICALS LTD,39.95,25.68,No Offer Available,General
200,BETNOVATE SKIN CREAM 1*10,GLAXOSMITHKLINE PHARMACEUTICALS LTD,23.3,14.98,No Offer Available,General
201,BILAFAV-M TAB 1X10,CIPLA LTD,1760,1131.4,No Offer Available,General
202,BILAMBIC-M TAB 10X10STRIP,ALEMBIC PHARMACEUTICALS LTD,1181.5,759.5,No Offer Available,General
203,BILASURE 20MG TAB 1X10,SUN PHARMA DISTRIBUTORS LTD (SPDL),1390,893.57,No Offer Available,General
204,BILASURE 40MG TAB 1X10,SUN PHARMA DISTRIBUTORS LTD (SPDL),1970,1266.43,No Offer Available,General
205,BILASURE-M TAB 1X10,SUN PHARMA DISTRIBUTORS LTD (SPDL),1890,1215,No Offer Available,General
206,BRO ZEET LS 1MG SUP 100ML,ALEMBIC PHARMACEUTICALS LTD,130.2,83.7,No Offer Available,General
207,BRO ZEET LS SUP 100ML*1PCS,ALEMBIC PHARMACEUTICALS LTD,137.3,79.48,No Offer Available,General
208,BRO ZEET SF 100ML 100ML*1PCS,ALEMBIC PHARMACEUTICALS LTD,118.85,76.41,No Offer Available,General
209,BRO ZEET SYP 1PCS,ALEMBIC PHARMACEUTICALS LTD,133.5,77.27,No Offer Available,General
210,BRONCOREX  50 ML 50ML*1Pcs,PFIZER LIMITED,76,43.97,No Offer Available,General
211,BRONCOREX 100 ML 100ML*1Pcs,PFIZER LIMITED,141,81.57,No Offer Available,General
212,BRUFEEN 200MG TAB 15*40STRIP,ABBOTT INDIA LIMITED,11.76,8.47,No Offer Available,General
213,BRUFEEN 400MG TAB 15*60STRIP,ABBOTT INDIA LIMITED,20.14,12.35,No Offer Available,General
214,BRUFEEN 600MG TAB 15*30STRIP,ABBOTT INDIA LIMITED,38.53,27.52,No Offer Available,General
215,BRUFEN JUNIOR 60ML,ABBOTT INDIA LIMITED,13.55,8.71,No Offer Available,General
216,BRUFEN-P JUNIOR SUS 100ML,ABBOTT INDIA LIMITED,45.38,26.25,No Offer Available,General
217,BUDECORT 0.5MG (BIG) 2ML*50RESPUL,CIPLA LTD,1323,680.4,No Offer Available,General
218,BUDECORT 0.5MG 2ML 1X5RESPULES,CIPLA LTD,133.25,0,6+1,General
219,BUDECORT 1MG RESPULES 1X40,CIPLA LTD,147.15,105.1,No Offer Available,General
220,BUDECORT 200 ROTOCAPS 1PCS,CIPLA LTD,120.62,71.92,No Offer Available,General
221,BUDECORT 400 ROTOCAPS 1PCS,CIPLA LTD,198.88,127.85,No Offer Available,General
222,BUDEFEX RESPULES 7X5,SUN PHARMA DISTRIBUTORS LTD (SPDL),705.95,324.16,No Offer Available,General
223,BUDESAL 0.5 RES 2ML*40RESPULS,CIPLA LTD,1932.4,1118.16,No Offer Available,General
224,BUSCOGAST AMP 1BOX*50AMP,SANOFI INDIA LIMITED,14.46,10.84,No Offer Available,General
225,BUSCOGAST PLUS TAB 10*10STRIP,SANOFI INDIA LIMITED,73.01,0,No Offer Available,General
226,BUSCOGAST TAB 10*20STRIP,SANOFI INDIA LIMITED,40.39,30.29,No Offer Available,General
227,CALPOL 120MG SUP 1SYP,GLAXOSMITHKLINE PHARMACEUTICALS LTD,40.32,24.62,No Offer Available,General
228,CALPOL 250MG SUP 1PIS,GLAXOSMITHKLINE PHARMACEUTICALS LTD,45.02,26.05,No Offer Available,General
229,CALPOL 500+ TAB 1X45,GLAXOSMITHKLINE PHARMACEUTICALS LTD,14.95,10.68,No Offer Available,General
230,CALPOL 650+ TAB 1X30,GLAXOSMITHKLINE PHARMACEUTICALS LTD,33.6,24,4+1,General
231,CALPOL 650MG 15*30STRIP,GLAXOSMITHKLINE PHARMACEUTICALS LTD,902.1,461.31,No Offer Available,General
232,CALPOL DROP 1PIC,GLAXOSMITHKLINE PHARMACEUTICALS LTD,30.07,19.33,No Offer Available,General
233,CALPOL LOOSE 1BOX1000TAB,GLAXOSMITHKLINE PHARMACEUTICALS LTD,754.89,539.21,No Offer Available,General
234,CALPOL T TAB 15X5STRIP,GLAXOSMITHKLINE PHARMACEUTICALS LTD,102.1,73,No Offer Available,General
235,CANDID B CREAM 10GM 1X10GM,GLENMARK PHARMACEUTICALS LTD,115,82.14,No Offer Available,General
236,CANDID POWDER 120 GM 1*120,GLENMARK PHARMACEUTICALS LTD,149,106.54,7+1,General
237,CANDID POWDER 60GM 1*60,GLENMARK PHARMACEUTICALS LTD,99,70.75,7+1,General
238,CANDID V6 TAB 1X6TAB,GLENMARK PHARMACEUTICALS LTD,67.27,48.05,No Offer Available,General
239,CARDACE 1.25MG 15*10STRIP,EMCURE PHARMACEUTICALS LTD.,106.49,76.06,No Offer Available,General
240,CARDACE 10MG 15*10STRIP,EMCURE PHARMACEUTICALS LTD.,448.78,320.56,No Offer Available,General
241,CARDACE 2.5MG 15*10STRIP,SANOFI INDIA LIMITED,87.53,62.52,No Offer Available,General
242,CARDACE 5MG 15*10STRIP,SANOFI INDIA LIMITED,137.42,98.16,No Offer Available,General
243,CARDACE AM 10 TAB 15*10STRIP,SANOFI INDIA LIMITED,445.56,318.26,No Offer Available,General
244,CARDACE AM 2.5 15*10STRIP,SANOFI INDIA LIMITED,198.17,141.55,No Offer Available,General
245,CARDACE AM 5 15*10STRIP,EMCURE PHARMACEUTICALS LTD.,356.41,254.58,No Offer Available,General
246,CARDACE H 10MG 15*10STRIP,SANOFI INDIA LIMITED,478.96,0,No Offer Available,General
247,CARDACE H 2.5MG 15*10STRIP,SANOFI INDIA LIMITED,244.38,0,No Offer Available,General
248,CARDACE H 5MG 15*10STRIP,SANOFI INDIA LIMITED,437.76,0,No Offer Available,General
249,CARDACE METO 2.5 10X10STRIP,EMCURE PHARMACEUTICALS LTD.,222.54,158.96,No Offer Available,General
250,CARDACE METO 5 10*10STRIP,SANOFI INDIA LIMITED,334.86,0,No Offer Available,General
251,CARDACE PROTECT 2.5 10*10STRIP,SANOFI INDIA LIMITED,1776,1130.29,No Offer Available,General
252,CARMADA 100MG TAB 1X10,SANOFI INDIA LIMITED,4700,2991.19,No Offer Available,General
253,CARMADA 200MG TAB 1X10,SANOFI INDIA LIMITED,5390,3430.35,No Offer Available,General
254,CARMADA 50MG TAB 1X10,SANOFI INDIA LIMITED,2700,1718.34,No Offer Available,General
255,CARNITOR 500MG TAB 10*1STRIP,WIN MEDICARE,385.3,206.85,No Offer Available,General
256,CARNITOR PLUS TAB 10*1STRIP,WIN MEDICARE,167,105.75,No Offer Available,General
257,C-C-M TAB 40TAB*1CC,GLAXOSMITHKLINE PHARMACEUTICALS LTD,545,324.08,No Offer Available,General
258,CEFF KID 10*10STRIP,LUPIN LIMITED,1236.75,570,No Offer Available,General
